1000064|07042021|565|0059|0|0.00|0.00|0.00|0
1000064|07042021|565|0159|0|0.00|0.00|0.00|0
1000064|07042021|565|0259|0|0.00|0.00|0.00|0
1000064|07042021|565|0359|0|0.00|0.00|0.00|0
1000064|07042021|565|0459|0|0.00|0.00|0.00|0
1000064|07042021|565|0559|0|0.00|0.00|0.00|0
1000064|07042021|565|0659|0|0.00|0.00|0.00|0
1000064|07042021|565|0759|0|0.00|0.00|0.00|0
1000064|07042021|565|0859|0|0.00|0.00|0.00|0
1000064|07042021|565|0959|0|0.00|0.00|0.00|0
1000064|07042021|565|1059|0|0.00|0.00|0.00|0
1000064|07042021|565|1159|0|0.00|0.00|0.00|0
1000064|07042021|565|1259|0|0.00|0.00|0.00|0
1000064|07042021|565|1359|0|0.00|0.00|0.00|0
1000064|07042021|565|1459|0|0.00|0.00|0.00|0
1000064|07042021|565|1559|0|0.00|0.00|0.00|0
1000064|07042021|565|1659|0|0.00|0.00|0.00|0
1000064|07042021|565|1759|0|0.00|0.00|0.00|0
1000064|07042021|565|1859|0|0.00|0.00|0.00|0
1000064|07042021|565|1959|0|0.00|0.00|0.00|0
1000064|07042021|565|2059|0|0.00|0.00|0.00|0
1000064|07042021|565|2159|0|0.00|0.00|0.00|0
1000064|07042021|565|2259|0|0.00|0.00|0.00|0
1000064|07042021|565|2359|117|1289.63|90.27|0.00|0
